question,answer,tech_accuracy,confidence
Explain the concept of REST APIs.,It's an API that lets you download data.  Basically that's it.,32,49
What is normalization in a database?,It makes the database normal and easy to read. ,38,50
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated. ",92,65
What is normalization in a database?,It makes the database normal and easy to read. ,31,53
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",54,29
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",59,54
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms. ,89,94
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",58,19
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",52,44
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  I am not really sure.,47,50
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms. ,89,95
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",55,23
What is normalization in a database?,It makes the database normal and easy to read. ,27,36
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",50,34
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",61,36
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",79,49
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",68,53
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated. ",96,71
What is normalization in a database?,It makes the database normal and easy to read.  Basically that's it.,23,57
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  Basically that's it.,33,42
What is normalization in a database?,It makes the database normal and easy to read.  Basically that's it.,36,42
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",62,35
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",58,42
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources. ,79,78
What is normalization in a database?,It makes the database normal and easy to read.  Basically that's it.,27,54
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",51,83
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets. ",97,79
Explain how a hash map works.,It's just an array that stores things inside it.  I am not really sure.,24,28
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms. ,85,81
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",61,43
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets. ",94,87
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated. ",91,66
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",57,62
Explain the concept of REST APIs.,It's an API that lets you download data. ,27,22
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",40,53
Explain how a hash map works.,It's just an array that stores things inside it.  Basically that's it.,40,30
Explain the concept of REST APIs.,It's an API that lets you download data.  Basically that's it.,20,30
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms.  I used this in my last project.,97,69
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",66,51
Explain how a hash map works.,It's just an array that stores things inside it.  Basically that's it.,23,33
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",54,47
